[22:33:12.350] INFO  controller.WorkflowController — ─────────────────────────────────────────────────────
[22:33:12.353] INFO  controller.WorkflowController — Workflow 'File to Sftp' run started [runId=run-31a12cec4cc6]
[22:33:12.354] INFO  workflow.execution — filelist: Listing directory C:/files
[22:33:12.421] INFO  workflow.execution — fileread: Reading C:\files\readme.txt
[22:33:12.609] INFO  workflow.execution — sftpwrite: Connecting to eu-central-1.sftpcloud.io:22
[22:33:12.614] INFO  workflow.execution — sftpwrite: Writing /pub/example/readme.txt
[22:33:12.669] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[22:33:13.180] WARN  remote.SftpOperations — JSCH -> Permanently added 'eu-central-1.sftpcloud.io' (ECDSA) to the list of known hosts.
[22:33:17.648] INFO  workflow.execution — fileread: Reading C:\files\readme.txt.pgp.txt
[22:33:17.665] INFO  workflow.execution — sftpwrite: Connecting to eu-central-1.sftpcloud.io:22
[22:33:17.680] INFO  workflow.execution — sftpwrite: Writing /pub/example/readme.txt.pgp.txt
[22:33:17.691] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[22:33:22.226] INFO  controller.WorkflowController — Workflow 'File to Sftp' run completed successfully in 9876ms
