[22:38:35.472] INFO  controller.WorkflowController — ─────────────────────────────────────────────────────
[22:38:35.478] INFO  controller.WorkflowController — Workflow 'New Workflow' run started [runId=run-9f67eb4f198a]
[22:38:35.499] INFO  workflow.execution — sftpread: Connecting to test.rebex.net:22
[22:38:35.504] INFO  workflow.execution — sftpread: Reading /pub/example/*.csv
[22:38:35.589] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[22:38:41.110] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[22:38:46.415] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[22:38:52.651] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[22:38:56.673] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[22:39:00.664] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[22:39:05.044] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[22:39:09.805] INFO  workflow.execution — null
[22:39:09.805] INFO  controller.WorkflowController — Workflow 'New Workflow' run completed successfully in 34333ms
