[00:22:57.271] INFO  controller.WorkflowController — ─────────────────────────────────────────────────────
[00:22:57.282] INFO  controller.WorkflowController — Workflow 'New Workflow' run started [runId=run-f10e7f1439e0]
[00:22:57.284] INFO  workflow.execution — sftplist: Connecting to test.rebex.net:22
[00:22:57.286] INFO  workflow.execution — sftplist: Listing /pub/example
[00:23:00.531] INFO  workflow.execution — sftpread: Connecting to test.rebex.net:22
[00:23:00.536] INFO  workflow.execution — sftpread: Reading /pub/example//pub/example/imap-console-client.png
[00:23:00.553] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:23:05.081] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:23:08.635] INFO  workflow.execution — null
[00:23:08.635] INFO  workflow.execution — sftpread: Connecting to test.rebex.net:22
[00:23:08.635] INFO  workflow.execution — sftpread: Reading /pub/example//pub/example/KeyGenerator.png
[00:23:08.643] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:23:13.396] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:23:17.042] INFO  workflow.execution — null
[00:23:17.042] INFO  workflow.execution — sftpread: Connecting to test.rebex.net:22
[00:23:17.046] INFO  workflow.execution — sftpread: Reading /pub/example//pub/example/KeyGeneratorSmall.png
[00:23:17.046] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:23:21.712] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:23:25.376] INFO  workflow.execution — null
[00:23:25.376] INFO  workflow.execution — sftpread: Connecting to test.rebex.net:22
[00:23:25.440] INFO  workflow.execution — sftpread: Reading /pub/example//pub/example/mail-editor.png
[00:23:25.447] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:23:30.007] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:23:33.737] INFO  workflow.execution — null
[00:23:33.737] INFO  workflow.execution — sftpread: Connecting to test.rebex.net:22
[00:23:33.737] INFO  workflow.execution — sftpread: Reading /pub/example//pub/example/mail-send-winforms.png
[00:23:33.737] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:23:38.228] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:23:41.985] INFO  workflow.execution — null
[00:23:41.985] INFO  workflow.execution — sftpread: Connecting to test.rebex.net:22
[00:23:41.985] INFO  workflow.execution — sftpread: Reading /pub/example//pub/example/mime-explorer.png
[00:23:41.985] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:23:46.568] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:23:50.230] INFO  workflow.execution — null
[00:23:50.233] INFO  workflow.execution — sftpread: Connecting to test.rebex.net:22
[00:23:50.235] INFO  workflow.execution — sftpread: Reading /pub/example//pub/example/pocketftp.png
[00:23:50.237] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:23:55.455] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:23:59.749] INFO  workflow.execution — null
[00:23:59.765] INFO  workflow.execution — sftpread: Connecting to test.rebex.net:22
[00:23:59.765] INFO  workflow.execution — sftpread: Reading /pub/example//pub/example/pocketftpSmall.png
[00:23:59.773] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:24:05.037] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:24:08.730] INFO  workflow.execution — null
[00:24:08.730] INFO  workflow.execution — sftpread: Connecting to test.rebex.net:22
[00:24:08.730] INFO  workflow.execution — sftpread: Reading /pub/example//pub/example/pop3-browser.png
[00:24:08.738] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:24:13.533] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:24:17.012] INFO  workflow.execution — null
[00:24:17.016] INFO  workflow.execution — sftpread: Connecting to test.rebex.net:22
[00:24:17.017] INFO  workflow.execution — sftpread: Reading /pub/example//pub/example/pop3-console-client.png
[00:24:17.019] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:24:21.479] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:24:25.193] INFO  workflow.execution — null
[00:24:25.196] INFO  workflow.execution — sftpread: Connecting to test.rebex.net:22
